id,dateadded,name,reviews_date,reviews_rating,reviews_username
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-08-08T00:00:00Z,5,Cristina M
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-09-01T00:00:00Z,5,Ricky
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-07-20T00:00:00Z,4,Tedd Gardiner
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2017-06-16T00:00:00Z,5,Dougal
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2016-08-11T00:00:00Z,5,Miljan David Tanic
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-07-08T00:00:00Z,,Kelvin Law
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-09-01T00:00:00Z,,Ricky
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-07-03T00:00:00Z,,Bandler
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-08-08T00:00:00Z,,Cristina M
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-07-20T00:00:00Z,,Tedd Gardiner
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-07-01T00:00:00Z,,Miguel Martinez
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-08-05T00:00:00Z,,Magnus Brattemark
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,2015-07-20T00:00:00Z,,Tedd Gardiner
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,4,Janet Matthews Jan
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,5,John Kat's the brains
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,5,samira
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,4,Louis simard
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,5,JanetC
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,4,Shepherd
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,4,Brenda
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,5,Fil Gambatesa
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,5,Roy Bennett
AVpe7AsMilAPnD_xQ78G,2016-03-08T20:21:53Z,Kindle Paperwhite,,5,satisfied customer
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Jeffrey Stanley
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Ron Cronovich
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,C. Tipton
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Ron Cronovich
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Ron Cronovich
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Ron Cronovich
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Jeffrey Stanley
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Jeffrey Stanley
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,Ron Cronovich
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,,C. Tipton
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-05T05:00:00Z,,D. Tatro
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-03T05:00:00Z,,M. Lansford Kindle fave
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-04T05:00:00Z,,Jean F. Bryant Wordwright
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-05T05:00:00Z,,Jeff Maddox
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2010-09-02T05:00:00Z,,Mr Goodwrench
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-02T05:00:00Z,,ken
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-06T05:00:00Z,,Lucky Luke
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-06T05:00:00Z,,George
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-06T05:00:00Z,,Kelly Beaumont
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-06T05:00:00Z,,Alexandr Petak
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,2014-05-07T05:00:00Z,,Di
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,4,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,5,Ron Cronovich
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,3,Jeffrey Stanley
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,3,Jeffrey Stanley
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,4,Matthew Coenen
AVpfBEWcilAPnD_xTGb7,2015-01-17T12:14:51Z,Kindle Keyboard,,5,Ron Cronovich
