,id,name,reviews_rating,reviews_username
0,33,55,5.0,151
1,33,55,5.0,618
2,33,55,4.0,722
3,33,55,5.0,215
4,33,55,5.0,525
5,33,55,5.0,410
6,33,55,5.0,618
7,33,55,5.0,67
8,33,55,5.0,151
9,33,55,5.0,722
10,33,55,5.0,516
11,33,55,5.0,485
12,33,55,5.0,722
13,33,55,4.0,350
14,33,55,5.0,383
15,33,55,5.0,921
16,33,55,4.0,460
17,33,55,5.0,351
18,33,55,4.0,675
19,33,55,4.0,96
20,33,55,5.0,250
21,33,55,5.0,637
22,33,55,5.0,922
23,37,52,5.0,367
24,37,52,5.0,499
25,37,52,5.0,632
26,37,52,5.0,499
27,37,52,5.0,111
28,37,52,5.0,499
29,37,52,5.0,632
30,37,52,5.0,632
31,37,52,5.0,632
32,37,52,5.0,499
33,37,52,5.0,367
34,37,52,5.0,499
35,37,52,5.0,367
36,37,52,5.0,632
37,37,52,5.0,111
38,37,52,5.0,157
39,37,52,5.0,474
40,37,52,5.0,361
41,37,52,5.0,363
42,37,52,5.0,537
43,37,52,5.0,868
44,37,52,5.0,463
45,37,52,5.0,280
46,37,52,5.0,409
47,37,52,5.0,29
48,37,52,5.0,200
49,37,52,4.0,499
50,37,52,5.0,632
51,37,52,3.0,367
52,37,52,3.0,367
53,37,52,4.0,499
54,37,52,5.0,632
55,40,30,5.0,298
56,40,30,5.0,489
57,40,30,5.0,168
58,40,30,4.0,298
59,40,30,5.0,489
60,40,30,5.0,772
61,40,30,4.0,298
62,40,30,5.0,489
63,44,51,5.0,733
64,44,51,3.0,53
65,44,51,5.0,733
66,44,51,5.0,53
67,44,51,5.0,40
68,44,51,3.0,53
69,44,51,5.0,733
70,44,51,5.0,53
71,44,51,5.0,53
72,44,51,3.0,53
73,44,51,4.0,40
74,44,51,5.0,40
75,44,51,5.0,53
76,44,51,5.0,733
77,44,51,5.0,53
78,44,51,5.0,53
79,44,51,5.0,40
80,44,51,5.0,733
81,44,51,5.0,53
82,44,51,5.0,53
83,44,51,5.0,40
84,44,51,5.0,418
85,1,17,5.0,156
86,1,17,5.0,828
87,1,17,4.0,147
88,1,17,5.0,9
89,1,17,3.0,761
90,1,17,5.0,88
91,1,17,5.0,332
92,1,17,5.0,110
93,1,17,5.0,641
94,1,17,5.0,156
95,6,25,4.0,359
96,6,25,5.0,199
97,6,25,5.0,113
98,30,18,5.0,156
99,30,18,5.0,828
100,30,18,4.0,147
101,30,18,5.0,9
102,30,18,3.0,761
